leaguegoals,isamongtopscorers,yellows,isamongtopscorersinteam,jerseynumber,position,artificialkey,teamid,leaguegoalsprevmatch,injury,leagueappearances,istopscorer,leaguegoalsprevthreematches,playerid,form,reds
0,0,0,0,10,28,169,1445,0,0,0,0,0,45574,3,0
0,0,0,0,32,28,170,1445,0,0,0,0,0,232190,3,0
0,0,0,0,1,28,171,1445,0,0,0,0,0,155547,3,0
0,0,0,0,21,28,172,1445,0,0,0,0,0,231233,2,0
0,0,0,0,25,28,173,1445,0,0,0,0,0,224482,2,0
0,0,0,0,18,28,174,1445,0,0,0,0,0,243708,3,0
0,0,0,0,42,28,175,1445,0,0,0,0,0,243709,3,0
0,0,0,0,50,28,176,1445,0,0,0,0,0,243891,3,0
0,0,0,0,11,28,177,1445,0,0,0,0,0,203377,3,0
0,0,0,0,8,28,178,1445,0,0,0,0,0,190160,3,0
0,0,0,0,2,29,179,1445,0,0,0,0,0,245684,3,0
0,0,0,0,15,29,180,1445,0,0,0,0,0,234629,3,0
0,0,0,0,3,29,181,1445,0,0,0,0,0,243892,3,0
0,0,0,0,1,0,182,1446,0,0,0,0,0,195356,3,0
0,0,0,0,11,3,183,1446,0,0,0,0,0,155567,4,0
0,0,0,0,3,4,184,1446,0,0,0,0,0,228419,3,0
1,0,0,1,4,6,185,1446,0,0,0,0,1,229036,5,0
0,0,0,0,13,7,186,1446,0,0,0,0,0,152031,3,0
0,0,0,0,12,12,187,1446,0,0,0,0,0,242599,4,0
1,0,0,1,8,13,188,1446,0,0,0,0,0,240335,4,0
0,0,0,0,2,15,189,1446,0,0,0,0,0,234521,4,0
2,0,0,1,20,16,190,1446,0,0,0,0,0,237015,3,0
3,0,0,1,17,24,191,1446,0,0,0,0,1,198622,5,0
1,0,0,1,22,26,192,1446,0,0,0,0,1,213871,5,0
0,0,0,0,6,28,193,1446,0,0,0,0,0,221552,4,0
0,0,0,0,10,28,194,1446,0,0,0,0,0,138086,3,0
0,0,0,0,19,28,195,1446,0,0,0,0,0,239781,3,0
0,0,0,0,7,28,196,1446,0,0,0,0,0,201277,3,0
0,0,0,0,30,28,197,1446,0,0,0,0,0,215656,3,0
0,0,0,0,9,28,198,1446,0,0,0,0,0,241114,3,0
0,0,0,0,21,28,199,1446,0,0,0,0,0,155551,3,0
0,0,0,0,5,28,200,1446,0,0,0,0,0,172561,3,0
0,0,0,0,24,28,201,1446,0,0,0,0,0,217718,3,0
0,0,0,0,23,28,202,1446,0,0,0,0,0,236826,3,0
1,0,0,1,15,28,203,1446,0,0,0,0,0,241956,3,0
0,0,0,0,40,28,204,1446,0,0,0,0,0,241018,3,0
0,0,0,0,14,29,205,1446,0,0,0,0,0,244761,3,0
0,0,0,0,28,29,206,1446,0,0,0,0,0,240356,3,0
0,0,0,0,28,0,207,1447,0,0,0,0,0,193312,5,0
3,0,0,1,2,3,208,1447,0,0,0,0,2,229436,5,0
0,0,0,0,3,4,209,1447,0,0,0,0,0,188978,5,0
2,0,0,1,5,6,210,1447,0,0,0,0,0,178414,5,0
0,0,0,0,7,7,211,1447,0,0,0,0,0,152065,5,0
1,0,0,1,15,12,212,1447,0,0,0,0,1,152038,3,0
1,0,0,1,30,13,213,1447,0,0,0,0,1,198534,4,0
0,0,0,0,25,15,214,1447,0,0,0,0,0,135032,3,0
0,0,0,0,8,16,215,1447,0,0,0,0,0,229083,4,0
1,0,0,1,27,24,216,1447,0,0,0,0,0,198436,3,0
3,0,0,1,10,26,217,1447,0,0,0,0,1,207741,4,0
0,0,0,0,6,28,218,1447,0,0,0,0,0,172398,4,0
0,0,0,0,9,28,219,1447,0,0,0,0,0,245235,4,0
0,0,0,0,24,28,220,1447,0,0,0,0,0,238051,4,0
0,0,0,0,12,28,221,1447,0,0,0,0,0,138091,3,0
0,0,0,0,1,28,222,1447,0,0,0,0,0,204985,3,0
0,0,0,0,32,28,223,1447,0,0,0,0,0,236353,3,0
0,0,0,0,21,28,224,1447,0,0,0,0,0,224515,3,0
0,0,0,0,29,28,225,1447,0,0,0,0,0,239835,3,0
0,0,0,0,4,28,226,1447,0,0,0,0,0,200195,3,0
1,0,0,1,11,28,227,1447,0,0,0,0,0,189377,3,0
0,0,0,0,18,28,228,1447,0,0,0,0,0,237519,3,0
1,0,0,1,22,28,229,1447,0,0,0,0,0,237058,3,0
0,0,0,0,14,29,230,1447,0,0,0,0,0,198899,3,0
0,0,0,0,35,29,231,1447,0,0,0,0,0,243681,3,0
0,0,0,0,1,0,232,1516,0,0,0,0,0,132740,3,0
1,0,0,0,24,2,233,1516,0,0,0,0,0,225273,3,0
0,0,0,0,2,4,234,1516,0,0,0,0,0,190942,3,0
0,0,0,0,14,5,235,1516,0,0,0,0,0,212253,3,0
1,0,0,0,28,6,236,1516,0,0,0,0,1,199745,3,0
2,0,0,1,5,8,237,1516,0,0,0,0,1,215938,3,0
1,0,0,0,45,23,238,1516,0,0,0,0,0,212830,2,0
3,0,0,1,7,13,239,1516,0,0,0,0,1,49756,2,0
0,0,0,0,3,15,240,1516,0,0,0,0,0,164858,2,0
2,0,0,1,88,27,241,1516,0,0,0,0,0,201967,2,0
2,0,0,1,33,25,242,1516,0,0,0,0,1,212382,2,0
3,0,0,1,19,28,243,1516,0,0,0,0,1,229748,3,0
0,0,0,0,26,28,244,1516,0,0,0,0,0,242458,3,0
0,0,0,0,15,28,245,1516,0,0,0,0,0,239458,3,0
0,0,0,0,6,28,246,1516,0,0,0,0,0,227600,3,0
0,0,0,0,30,28,247,1516,0,0,0,0,0,239927,3,0
0,0,0,0,4,28,248,1516,0,0,0,0,0,198250,3,0
0,0,0,0,13,28,249,1516,0,0,0,0,0,229873,3,0
1,0,0,0,38,28,250,1516,0,0,0,0,0,239529,3,0
0,0,0,0,31,28,251,1516,0,0,0,0,0,171033,3,0
0,0,0,0,27,28,252,1516,0,0,0,0,0,244471,3,0
0,0,0,0,10,28,253,1516,0,0,0,0,0,234505,3,0
0,0,0,0,36,28,254,1516,0,0,0,0,0,199750,3,0
3,0,0,1,20,29,255,1516,0,0,0,0,0,235244,3,0
0,0,0,0,8,29,256,1516,0,0,0,0,0,239636,3,0
0,0,0,0,40,29,257,1516,0,0,0,0,0,244472,3,0
0,0,0,0,29,29,258,1516,0,0,0,0,0,239926,3,0
0,0,0,0,1,0,259,1786,0,0,0,0,0,216750,4,0
0,0,0,0,4,3,260,1786,0,0,0,0,0,142270,4,0
0,0,0,0,24,4,261,1786,0,0,0,0,0,222328,4,0
1,0,0,1,11,6,262,1786,0,0,0,0,0,223694,4,0
1,0,0,1,17,7,263,1786,0,0,0,0,0,188807,4,0
0,0,0,0,19,12,264,1786,0,0,0,0,0,220663,3,0
0,0,0,0,38,13,265,1786,0,0,0,0,0,213530,3,0
3,0,0,1,6,15,266,1786,0,0,0,0,1,210646,3,0
3,0,0,1,23,16,267,1786,1,0,0,0,2,239755,5,0
2,0,0,1,9,24,268,1786,0,0,0,0,0,244296,3,0
2,0,0,1,18,26,269,1786,1,0,0,0,1,202769,4,0
0,0,0,0,7,28,270,1786,0,0,0,0,0,216407,3,0
0,0,0,0,2,28,271,1786,0,0,0,0,0,234502,3,0
0,0,0,0,27,28,272,1786,0,0,0,0,0,238309,3,0
0,0,0,0,28,28,273,1786,0,0,0,0,0,242690,3,0
0,0,0,0,22,28,274,1786,0,0,0,0,0,204298,3,0
0,0,0,0,70,28,275,1786,0,0,0,0,0,234369,3,0
0,0,0,0,12,28,276,1786,0,0,0,0,0,210714,3,0
0,0,0,0,21,28,277,1786,0,0,0,0,0,207584,3,0
0,0,0,0,14,28,278,1786,0,0,0,0,0,229504,3,0
0,0,0,0,25,28,279,1786,0,0,0,0,0,236794,3,0
0,0,0,0,16,28,280,1786,0,0,0,0,0,243203,3,0
1,0,0,1,20,28,281,1786,0,0,0,0,1,204348,3,0
0,0,0,0,10,29,282,1786,0,0,0,0,0,214099,3,0
0,0,0,0,45,29,283,1786,0,0,0,0,0,223670,3,0
0,0,0,0,18,0,284,1788,0,0,0,0,0,200209,2,0
0,0,0,0,2,2,285,1788,0,0,0,0,0,236273,2,0
0,0,0,0,16,4,286,1788,0,0,0,0,0,241139,3,0
0,0,0,0,4,5,287,1788,0,0,0,0,0,235658,2,0
1,0,0,1,3,6,288,1788,0,0,0,0,1,212040,2,0
0,0,0,0,5,8,289,1788,0,0,0,0,0,229640,3,0
6,1,0,1,21,23,290,1788,1,0,0,0,3,240017,4,0
0,0,0,0,27,13,291,1788,0,0,0,0,0,241508,3,0
0,0,0,0,8,15,292,1788,0,0,0,0,0,237840,3,0
2,0,0,1,11,27,293,1788,0,0,0,0,0,213089,3,0
0,0,0,0,7,25,294,1788,0,0,0,0,0,234488,3,0
2,0,0,1,24,28,295,1788,0,0,0,0,1,241695,3,0
0,0,0,0,17,28,296,1788,0,0,0,0,0,233212,2,0
0,0,0,0,38,28,297,1788,0,0,0,0,0,244515,3,0
0,0,0,0,25,28,298,1788,0,0,0,0,0,233912,3,0
0,0,0,0,28,28,299,1788,0,0,0,0,0,231237,3,0
0,0,0,0,14,28,300,1788,0,0,0,0,0,225266,3,0
0,0,0,0,22,28,301,1788,0,0,0,0,0,244692,3,0
0,0,0,0,33,28,302,1788,0,0,0,0,0,243230,3,0
0,0,0,0,39,28,303,1788,0,0,0,0,0,245155,3,0
0,0,0,0,37,28,304,1788,0,0,0,0,0,244513,3,0
0,0,0,0,31,28,305,1788,0,0,0,0,0,207712,3,0
0,0,0,0,30,28,306,1788,0,0,0,0,0,235662,3,0
1,0,0,1,19,29,307,1788,0,0,0,0,0,242600,3,0
0,0,0,0,34,29,308,1788,0,0,0,0,0,238009,3,0
0,0,0,0,20,29,309,1788,0,0,0,0,0,234801,3,0
0,0,0,0,1,0,310,111660,0,0,0,0,0,211105,2,0
0,0,0,0,30,3,311,111660,0,0,0,0,0,205533,2,0
1,0,0,1,15,4,312,111660,0,0,0,0,1,243701,2,0
1,0,0,1,3,6,313,111660,0,0,0,0,0,243700,3,0
0,0,0,0,20,7,314,111660,0,0,0,0,0,186922,3,0
0,0,0,0,6,10,315,111660,0,0,0,0,0,243706,3,0
1,0,0,1,7,12,316,111660,0,0,0,0,0,215688,3,0
0,0,0,0,21,13,317,111660,0,0,0,0,0,243704,3,0
1,0,0,1,9,15,318,111660,0,0,0,0,0,234991,3,0
1,0,0,1,17,16,319,111660,0,0,0,0,0,243707,3,0
2,0,0,1,23,25,320,111660,0,0,0,0,0,243969,3,0
1,0,0,1,14,28,321,111660,0,0,0,0,0,243703,3,0
0,0,0,0,8,28,322,111660,0,0,0,0,0,205932,3,0
0,0,0,0,16,28,323,111660,0,0,0,0,0,184657,2,0
0,0,0,0,2,28,324,111660,0,0,0,0,0,213914,2,0
0,0,0,0,24,28,325,111660,0,0,0,0,0,163135,3,0
0,0,0,0,10,28,326,111660,0,0,0,0,0,202193,3,0
1,0,0,1,18,28,327,111660,0,0,0,0,0,243811,3,0
0,0,0,0,27,28,328,111660,0,0,0,0,0,201251,3,0
0,0,0,0,19,28,329,111660,0,0,0,0,0,241474,3,0
0,0,0,0,13,28,330,111660,0,0,0,0,0,210640,3,0
1,0,0,1,22,28,331,111660,0,0,0,0,0,237308,3,0
0,0,0,0,12,28,332,111660,0,0,0,0,0,243717,3,0
0,0,0,0,4,29,333,111660,0,0,0,0,0,172560,3,0
0,0,0,0,35,29,334,111660,0,0,0,0,0,215451,3,0
0,0,0,0,5,29,335,111660,0,0,0,0,0,235804,3,0
0,0,0,0,11,29,336,111660,0,0,0,0,0,213542,3,0
0,0,0,0,1,0,337,112425,0,0,0,0,0,184222,1,0
0,0,0,0,3,3,338,112425,0,0,0,0,0,199746,1,0
0,0,0,0,5,4,339,112425,0,0,0,0,0,183499,3,0
0,0,0,0,24,6,340,112425,0,0,0,0,0,239158,1,0
0,0,0,0,27,7,341,112425,0,0,0,0,0,240129,2,0
0,0,0,0,26,12,342,112425,0,0,0,0,0,162211,3,0
0,0,0,0,12,13,343,112425,0,0,0,0,0,164637,2,0
1,0,0,1,7,15,344,112425,0,0,0,0,0,239170,2,0
1,0,0,1,17,16,345,112425,0,0,0,0,0,220569,3,0
0,0,0,0,10,24,346,112425,0,0,0,0,0,227866,3,0
5,1,0,1,23,26,347,112425,0,0,0,0,1,241002,3,0
0,0,0,0,80,28,348,112425,0,0,0,0,0,196064,2,0
0,0,0,0,99,28,349,112425,0,0,0,0,0,177772,3,0
0,0,0,0,19,28,350,112425,0,0,0,0,0,236516,3,0
0,0,0,0,9,28,351,112425,0,0,0,0,0,155517,3,0
0,0,0,0,31,28,352,112425,0,0,0,0,0,239767,3,0
0,0,0,0,4,28,353,112425,0,0,0,0,0,202436,3,0
0,0,0,0,6,28,354,112425,0,0,0,0,0,205091,1,0
1,0,0,1,14,28,355,112425,0,0,0,0,1,228799,2,0
0,0,0,0,34,28,356,112425,0,0,0,0,0,245291,3,0
0,0,0,0,8,28,357,112425,0,0,0,0,0,210249,1,0
0,0,0,0,77,28,358,112425,0,0,0,0,0,241988,3,0
0,0,0,0,29,28,359,112425,0,0,0,0,0,234631,2,0
0,0,0,0,20,29,360,112425,0,0,0,0,0,232396,3,0
0,0,0,0,16,0,361,229,0,0,0,0,0,219793,4,0
0,0,0,0,55,4,362,229,0,0,0,0,0,203624,3,0
0,0,0,0,45,5,363,229,0,0,0,0,0,242663,3,0
0,0,0,0,44,6,364,229,0,0,0,0,0,226518,2,0
0,0,0,0,56,12,365,229,0,0,0,0,0,242664,4,0
1,0,0,1,25,13,366,229,0,0,0,0,0,203886,3,0
0,0,0,0,5,15,367,229,0,0,0,0,0,240309,3,0
0,0,0,0,40,16,368,229,0,0,0,0,0,241947,3,0
1,0,0,1,8,18,369,229,0,0,0,0,1,216334,3,0
8,1,0,1,19,24,370,229,1,0,0,1,1,208017,4,0
5,1,0,1,9,26,371,229,0,0,0,0,0,231745,3,0
0,0,0,0,20,28,372,229,0,0,0,0,0,176009,3,0
0,0,0,0,7,28,373,229,0,0,0,0,0,198705,3,0
1,0,0,1,4,28,374,229,1,0,0,0,1,220302,4,0
0,0,0,0,12,28,375,229,0,0,0,0,0,199191,3,0
0,0,0,0,1,28,376,229,0,0,0,0,0,139727,3,0
1,0,0,1,11,28,377,229,0,0,0,0,0,194171,3,0
0,0,0,0,99,28,378,229,0,0,0,0,0,208790,3,0
0,0,0,0,30,28,379,229,0,0,0,0,0,209318,3,0
0,0,0,0,15,28,380,229,0,0,0,0,0,224813,4,0
0,0,0,0,10,28,381,229,0,0,0,0,0,232294,3,0
0,0,0,0,17,28,382,229,0,0,0,0,0,243641,3,0
0,0,0,0,37,28,383,229,0,0,0,0,0,191198,3,0
0,0,0,0,38,29,384,229,0,0,0,0,0,242284,3,0
0,0,0,0,77,29,385,229,0,0,0,0,0,243232,3,0
0,0,0,0,3,29,386,229,0,0,0,0,0,245768,3,0
0,0,0,0,48,29,387,229,0,0,0,0,0,241928,3,0
0,0,0,0,22,29,388,229,0,0,0,0,0,232526,3,0
0,0,0,0,1,0,389,230,0,0,0,0,0,162220,3,0
0,0,0,0,4,3,390,230,0,0,0,0,0,190494,1,0
1,0,0,1,15,4,391,230,0,0,0,0,1,204352,3,0
0,0,0,0,2,6,392,230,0,0,0,0,0,240122,3,0
0,0,0,0,6,7,393,230,0,0,0,0,0,232655,2,0
2,0,0,1,38,10,394,230,0,0,0,0,1,162221,3,0
0,0,0,0,8,23,395,230,0,0,0,0,0,226877,3,0
1,0,0,1,60,13,396,230,0,0,0,0,0,192611,2,0
0,0,0,0,10,15,397,230,0,0,0,0,0,195065,3,0
5,1,0,1,19,27,398,230,0,0,0,0,3,200387,2,0
0,0,0,0,9,25,399,230,0,0,0,0,0,237555,2,0
0,0,0,0,23,28,400,230,0,0,0,0,0,221433,3,0
0,0,0,0,29,28,401,230,0,0,0,0,0,242021,3,0
0,0,0,0,37,28,402,230,0,0,0,0,0,53630,2,0
0,0,0,0,21,28,403,230,0,0,0,0,0,239814,3,0
0,0,0,0,39,28,404,230,0,0,0,0,0,229127,3,0
0,0,0,0,70,28,405,230,0,0,0,0,0,177392,3,0
1,0,0,1,11,28,406,230,0,0,0,0,1,164878,3,0
0,0,0,0,31,28,407,230,0,0,0,0,0,177815,3,0
0,0,0,0,7,28,408,230,0,0,0,0,0,208801,3,0
0,0,0,0,30,28,409,230,0,0,0,0,0,234573,3,0
0,0,0,0,20,28,410,230,0,0,0,0,0,234710,3,0
