firstnameid,lastnameid,playerjerseynameid,commonnameid,trait2,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,tattoobackneck,preferredposition3,longpassing,penalties,animfreekickstartposcode,animpenaltieskickstylecode,isretiring,longshots,gkdiving,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,vision,contractvaliduntil,animpenaltiesapproachcode,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,sprintspeed,height,hasseasonaljersey,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,ballcontrol,shotpower,trait1,socklengthcode,weight,hashighqualityhead,gkglovetypecode,tattoorightarm,balance,gender,headassetid,gkkicking,internationalrep,animpenaltiesmotionstylecode,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,attackingworkrate,finishingcode2,aggression,acceleration,headingaccuracy,iscustomized,eyebrowcode,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,defensiveworkrate,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,skintypecode,tattoorightneck,gkkickstyle,stamina,playerid,marking,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,skintonecode,shortstyle,overallrating,tattooleftneck,emotion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,runningcode1,preferredposition4,volleys,accessorycolourcode2,facialhaircolorcode
2993,19475,19475,0,1024,1,0,73,1,59,0,0,65,0,0,59,0,-1,73,76,0,0,0,72,11,54,31,67,72,7,0,70,82,83,2019,1,71,68,45,0,1,4001,40,178,3,14,61,108,143986,18,77,75,263168,0,75,0,0,0,67,0,3665,8,2,0,77,71,2,4,0,0,0,58,39,58,0,0,0,1,7,6,0,0,16,156950,1,0,18,1,0,3,30,2,0,0,46,3665,58,0,14,0,2,2,0,72,0,2,0,0,0,30,0,2,0,0,-1,67,0,0
11679,4707,4706,4706,262144,3,6,25,1,62,0,0,16,0,118,11,0,-1,22,24,0,0,0,13,91,22,31,13,82,93,0,77,70,65,2019,0,12,25,13,0,0,20,57,185,3,-1,70,110,153140,0,23,28,2098176,0,84,0,117,0,46,0,5479,80,4,0,21,13,0,0,0,0,0,23,59,25,0,2,0,2,90,4,0,0,8,159222,0,0,45,2,0,2,77,2,0,2,43,5479,24,0,94,0,0,1,0,92,0,4,0,9,0,30,0,2,0,0,-1,14,0,0
9297,2690,2690,0,1024,1,0,76,1,43,0,0,58,0,115,73,0,-1,71,72,0,2,0,69,7,68,31,75,72,12,0,71,81,68,2019,1,56,68,65,0,0,2022,33,183,0,14,74,255,153140,10,76,74,32960,0,78,1,0,0,60,0,6826,9,2,0,76,71,2,3,0,0,0,74,30,69,0,0,0,1,13,3,0,0,0,158821,0,0,14,2,0,3,70,2,0,0,50,6826,80,0,7,0,1,4,0,72,0,3,0,0,0,30,0,2,0,0,-1,63,0,0
6188,5995,5995,0,0,1,0,40,1,30,0,0,16,0,37,78,0,-1,64,30,0,0,0,31,6,85,31,28,74,10,0,70,75,25,2019,1,22,52,72,0,0,529,33,191,3,-1,79,69,144874,5,55,69,4227072,0,78,0,0,0,34,0,7647,14,2,0,56,31,1,3,0,1,0,69,30,76,0,1,0,1,12,1,0,0,0,159156,1,0,27,1,0,3,74,2,0,0,32,7647,69,0,13,0,1,4,0,74,0,2,0,0,0,30,0,4,0,0,-1,19,0,0
22553,29118,29082,0,18432,9,6,86,1,83,0,0,91,0,140,32,0,-1,79,88,2,2,0,84,9,31,31,80,89,8,0,85,85,87,2019,1,85,82,21,0,0,19,80,187,1,18,82,127,153140,25,91,87,16400,0,71,1,0,0,74,0,7826,5,3,0,82,85,3,3,0,0,0,69,82,84,0,0,0,1,10,4,0,0,0,159222,0,1,34,2,0,3,61,2,0,0,84,7826,32,0,7,0,2,1,0,87,0,4,0,0,0,30,0,5,1,0,-1,84,0,0
3955,1803,3752,3752,0,1,8,70,1,62,0,0,71,0,115,56,0,-1,73,74,0,0,0,78,15,58,31,72,71,6,0,66,80,72,2019,1,66,72,38,0,0,525,49,181,0,18,72,66,146343,14,75,82,65536,0,75,0,0,0,62,0,8205,13,1,0,76,61,2,0,0,0,0,74,48,54,0,2,0,1,15,3,0,0,0,158776,1,0,38,1,0,4,57,2,0,0,54,8205,56,0,8,0,1,4,0,71,0,3,0,0,0,30,0,2,0,0,-1,74,0,0
1880,22528,22528,0,1050624,2,0,90,1,87,0,0,88,0,0,26,0,-1,78,78,0,1,0,89,10,37,31,84,92,15,0,87,85,86,2019,0,89,91,26,0,3,2004,87,180,3,23,67,127,153140,12,92,89,74328,0,80,1,0,0,90,0,9014,11,4,1,85,84,3,0,0,2,0,47,89,51,0,2,0,2,8,3,0,0,16,159222,0,1,34,2,0,2,60,2,0,0,64,9014,30,0,5,0,3,2,0,88,0,5,0,0,0,30,0,2,0,0,-1,88,0,3
6694,3450,3450,0,1024,3,6,12,0,36,0,0,14,0,31,13,0,-1,43,46,0,0,0,16,64,23,31,15,71,67,0,66,55,47,2019,0,11,14,12,0,0,2010,43,194,1,-1,64,31,153140,0,29,28,1024,0,89,0,1,0,41,0,9833,52,1,0,46,12,0,3,0,0,0,37,31,11,0,0,0,1,78,3,1,0,0,158776,1,0,34,1,0,3,45,2,0,3,32,9833,12,0,77,0,0,2,0,71,0,3,0,0,0,30,0,6,0,0,-1,14,0,3
25012,11874,11874,0,0,3,16,76,1,77,0,0,70,0,124,51,0,-1,71,68,2,0,0,74,6,43,31,77,69,11,0,73,69,72,2019,1,61,70,38,0,0,505,57,181,3,18,69,137,145945,14,70,69,65536,0,81,0,0,0,77,0,10466,6,1,0,74,72,2,4,0,0,0,43,64,48,0,0,0,1,13,3,0,0,0,158967,1,0,46,1,0,3,60,2,0,0,61,10466,68,0,10,0,2,4,0,69,0,3,0,0,0,30,0,2,0,0,-1,74,0,2
5219,21395,21395,0,131072,6,4,46,1,59,0,0,61,0,133,31,0,-1,52,65,0,0,0,59,14,36,31,41,62,12,2,61,61,51,2019,1,65,52,31,0,0,2021,49,186,0,-1,84,267,146521,25,60,60,0,0,83,0,0,0,65,0,10899,7,1,0,58,47,1,1,0,2,0,46,51,65,0,2,0,1,9,3,0,0,0,158776,1,0,14,1,0,4,79,2,0,0,69,10899,40,0,15,0,2,2,0,62,0,3,0,0,0,30,0,5,0,17,-1,57,0,3
17352,9609,9609,0,262144,9,4,12,0,47,0,0,11,0,17,14,0,-1,35,24,0,0,0,13,66,17,31,20,67,64,0,63,48,37,2019,1,11,12,17,0,0,2006,37,185,1,-1,54,92,145965,0,21,20,1024,0,81,0,5,0,41,0,11381,65,1,0,28,11,0,0,0,0,0,30,44,11,0,1,0,1,70,4,1,0,0,158776,1,0,42,1,0,2,57,2,0,1,27,11381,15,0,68,0,0,2,0,67,0,3,0,0,0,30,0,6,0,0,-1,18,0,0
12265,17534,17534,0,1024,6,0,20,1,23,0,0,20,0,65,51,0,-1,43,31,0,0,0,18,6,47,31,24,53,14,0,54,43,19,2023,1,23,16,53,0,0,2012,29,196,0,-1,76,185,146176,5,30,21,16,0,79,0,0,0,22,0,11430,12,1,0,38,21,1,4,0,0,0,57,20,57,0,0,0,1,14,3,0,0,0,158256,1,0,14,1,0,2,29,2,0,0,32,11430,51,0,11,0,1,2,0,53,0,2,0,0,0,30,0,4,0,0,-1,21,0,3
25073,5456,5456,0,0,3,0,14,0,39,0,0,16,0,61,11,0,-1,27,17,0,0,0,18,59,23,31,20,55,49,0,51,55,16,2023,1,14,13,16,0,0,15,35,185,1,-1,56,65,145522,0,29,30,0,0,83,0,96,0,40,0,11793,58,1,0,32,16,0,3,0,0,0,42,34,14,0,0,0,1,52,8,1,0,0,157134,1,0,14,1,0,3,52,2,0,2,33,11793,19,0,55,0,0,2,0,55,0,3,0,0,0,30,0,5,0,0,-1,19,0,2
5219,27636,27636,0,0,9,6,19,0,65,0,0,19,0,37,17,0,-1,27,13,0,0,0,19,57,29,31,13,57,56,0,58,40,15,2019,0,20,20,18,0,0,6,47,188,1,-1,63,31,145850,0,23,17,0,0,84,0,125,0,60,0,11800,57,1,0,24,15,0,0,0,0,0,44,49,11,0,0,0,1,56,3,1,0,0,159181,1,0,14,2,0,2,53,2,0,3,40,11800,20,0,56,0,0,2,0,57,0,3,0,0,0,30,0,5,0,0,-1,17,0,0
20716,9959,9959,0,1024,12,8,48,1,70,0,0,54,0,65,63,0,-1,63,63,0,0,0,58,13,60,31,61,63,11,0,62,63,63,2019,0,52,57,62,0,0,3,56,170,3,-1,66,265,146275,14,62,62,0,0,77,0,0,0,80,0,11811,10,1,0,64,55,1,3,0,2,0,72,58,56,0,2,0,1,11,2,0,0,0,159141,1,2,25,1,0,3,76,1,0,0,79,11811,58,0,14,0,2,2,0,63,0,3,0,0,0,30,0,8,0,0,-1,52,0,4
7711,21319,21319,0,1024,1,3,22,1,32,0,0,43,0,21,69,0,-1,49,45,0,0,0,36,8,62,31,33,68,8,0,58,63,23,2019,1,26,29,62,0,0,2026,32,191,3,-1,91,264,146191,5,38,48,144,0,90,0,0,0,48,0,12940,9,2,0,66,23,1,4,0,0,0,81,33,65,0,1,0,1,8,3,0,0,0,158776,0,0,4,2,0,2,60,2,0,0,61,12940,67,0,10,0,1,1,0,68,0,3,0,0,0,30,0,4,0,0,-1,24,0,0
6154,27741,27741,0,1024,4,0,43,1,74,0,0,50,0,0,51,0,10,57,63,0,0,0,63,13,45,31,52,61,9,0,56,72,71,2019,1,58,56,50,0,0,8,54,178,3,18,65,266,145398,14,65,64,262144,0,73,0,0,0,76,0,13883,16,1,0,64,58,1,4,0,0,0,48,59,49,0,0,0,1,11,5,0,0,0,157353,1,0,14,1,0,3,70,2,0,0,66,13883,59,0,16,0,2,2,0,61,0,2,0,0,0,30,0,1,1,0,16,57,0,1
996,3321,3321,0,0,6,6,19,1,53,0,0,10,0,18,12,0,-1,26,20,0,0,0,19,76,19,31,11,76,76,0,68,60,49,2019,1,17,18,11,0,0,2004,45,188,3,-1,55,103,144297,0,23,19,32,0,89,0,7,0,51,0,14907,66,2,0,27,18,0,4,0,0,0,40,55,10,0,0,0,1,74,9,0,0,0,159157,1,0,52,1,0,3,68,2,0,1,31,14907,11,0,82,0,0,4,0,76,0,3,0,0,0,30,0,5,0,0,-1,19,0,0
19344,22450,22450,0,8192,1,0,20,1,52,0,0,17,0,124,12,0,-1,39,35,0,0,0,15,71,11,31,24,71,74,0,66,51,56,2019,1,17,16,13,0,0,1506,46,178,3,-1,60,264,144882,0,37,25,1024,2,83,0,94,0,55,0,16097,69,1,0,39,24,0,3,0,0,0,31,45,13,0,6,0,1,69,3,0,0,0,154942,1,0,95,1,0,4,64,2,0,3,31,16097,20,0,69,0,0,6,0,71,0,3,0,0,0,30,0,2,0,0,-1,12,0,0
19523,11369,11369,0,0,6,4,47,1,65,0,0,64,0,150,20,0,-1,33,59,0,0,0,56,6,47,31,53,62,12,8,61,61,52,2019,1,62,56,48,0,0,2006,52,173,3,-1,72,67,146170,25,56,59,16,0,74,0,0,0,76,0,16177,14,1,0,54,55,1,0,0,0,0,69,59,67,0,6,0,1,13,4,0,0,8,159141,1,1,25,1,0,3,82,2,0,0,64,16177,36,0,15,0,1,2,0,62,0,3,1,9,0,30,0,2,0,2,-1,55,0,2
26136,11277,11277,0,524288,1,8,14,0,38,0,0,13,0,0,12,0,-1,32,33,0,0,0,15,89,17,31,16,73,92,0,69,54,57,2019,1,13,13,14,0,0,530,39,191,1,-1,74,267,153289,0,29,26,2098176,2,88,1,94,0,50,0,16254,80,3,0,33,14,0,4,0,0,0,34,49,12,0,0,0,1,85,4,1,0,0,159222,0,0,95,1,0,3,69,2,0,1,26,16254,18,0,90,0,0,5,0,87,0,5,0,0,0,30,0,5,0,0,-1,12,0,0
154,11332,11332,0,0,9,4,42,1,43,0,0,29,0,122,69,0,-1,47,45,0,0,0,26,8,63,31,46,65,11,0,52,52,41,2019,1,34,43,66,0,0,4,26,183,0,7,77,75,145026,5,39,48,1040,0,70,0,0,0,52,0,17725,16,2,0,52,25,1,4,0,0,0,66,22,69,0,1,0,1,6,3,0,0,0,158603,1,0,35,1,0,3,58,2,0,0,55,17725,67,0,12,0,1,2,0,65,0,3,0,0,0,30,0,2,0,0,-1,33,0,0
23079,23541,22887,23074,0,1,4,48,1,62,0,0,40,0,24,74,0,-1,59,58,0,0,0,51,16,73,31,51,72,8,0,72,71,52,2019,1,39,47,69,0,0,20,65,185,3,7,75,101,147397,5,62,65,4194304,0,78,0,0,0,60,0,18115,16,1,0,64,31,1,1,0,0,0,76,61,72,0,0,0,1,7,3,0,0,0,158792,1,0,38,2,0,3,79,0,0,0,76,18115,67,0,14,0,1,2,0,72,0,3,0,0,0,30,0,5,0,0,-1,51,0,0
19360,20908,20908,0,0,3,4,6,1,38,0,0,11,0,65,11,0,-1,23,15,0,0,0,11,70,26,31,11,73,66,0,61,56,53,2019,1,9,14,11,0,0,1506,27,185,3,-1,63,137,145504,0,29,13,32,0,86,0,7,0,41,0,18122,66,2,0,33,9,0,3,0,0,0,36,26,19,0,0,0,1,76,9,1,0,0,157717,1,0,18,2,0,3,56,2,0,3,26,18122,21,0,81,0,0,2,0,73,0,2,0,0,0,30,0,5,0,0,-1,15,0,0
17042,26597,26597,0,0,3,6,18,1,48,0,0,17,0,57,16,0,-1,25,7,0,0,0,16,64,19,31,19,61,58,0,54,57,38,2019,1,8,17,17,0,0,2028,41,183,3,-1,54,67,144076,0,23,23,32,0,83,0,5,0,46,0,18745,56,1,0,26,10,0,0,0,0,0,39,21,19,0,2,0,1,56,1,0,0,0,158296,1,0,14,1,0,3,54,2,0,1,30,18745,24,0,65,0,0,2,0,61,0,2,0,0,0,30,0,2,0,0,-1,15,0,0
16073,25004,25004,0,524288,6,6,19,1,65,0,0,18,0,122,19,0,-1,28,27,0,0,0,19,68,22,31,12,68,71,0,66,55,43,2020,1,19,14,11,0,0,3505,51,188,1,-1,55,180,146808,0,21,24,1048576,0,76,0,112,0,58,0,18771,63,1,0,24,18,0,0,0,0,0,37,50,19,0,2,0,1,66,6,1,0,0,159172,1,0,14,1,0,2,70,2,0,3,38,18771,13,0,66,0,0,2,0,68,0,3,0,0,0,30,0,5,0,0,-1,20,0,2
1095,22306,22306,0,131072,6,0,30,1,46,0,0,64,0,141,23,0,-1,23,66,0,0,0,53,14,24,31,55,61,14,0,58,59,58,2019,1,64,43,22,0,0,7,58,191,0,-1,76,185,146363,25,48,71,0,0,78,0,0,0,48,0,19410,8,1,0,52,35,1,0,0,2,0,78,52,64,0,2,0,1,15,8,0,0,0,158989,1,2,14,1,0,3,76,2,0,0,89,19410,21,0,7,0,1,2,0,61,0,3,0,0,0,30,0,5,0,0,-1,60,0,3
12115,11584,11584,0,0,1,8,43,1,47,0,0,64,0,82,32,0,-1,47,56,0,0,0,51,7,41,31,48,62,9,0,59,65,55,2019,1,56,59,31,0,0,1022,68,194,3,-1,90,54,146203,25,59,60,0,0,92,0,0,0,48,0,19521,11,1,0,60,27,1,3,0,0,0,60,62,60,0,2,0,1,9,3,0,0,0,158776,1,0,14,1,0,2,65,2,0,0,84,19521,41,0,9,0,1,10,0,62,0,3,0,0,0,30,0,5,0,0,-1,53,0,0
9691,18481,18481,0,262144,3,8,13,1,56,0,0,14,0,141,22,0,-1,30,29,0,0,0,17,67,17,31,20,63,66,0,55,56,34,2020,0,15,14,24,0,0,2022,43,183,1,-1,63,47,146529,0,30,34,0,0,70,0,1,0,55,0,19541,62,1,0,29,15,0,4,0,0,0,30,42,14,0,0,0,1,58,3,1,0,0,158411,1,0,14,1,0,3,67,0,0,1,30,19541,10,0,62,0,0,2,0,63,0,2,0,0,0,30,0,2,0,0,-1,12,0,2
22019,19681,19681,0,0,3,6,67,1,71,0,0,74,0,31,56,0,12,68,62,1,0,0,73,9,52,31,70,71,10,0,63,61,66,2019,1,72,69,46,0,0,1505,72,175,0,16,62,65,146361,25,74,72,4096,0,73,0,0,0,69,0,19975,8,1,1,69,68,2,0,0,0,0,53,75,58,0,0,0,1,12,3,0,0,0,158411,1,0,47,2,0,4,75,1,0,0,72,19975,27,0,15,0,1,2,0,71,0,3,0,0,0,30,0,2,0,0,-1,75,0,2
22372,18423,21714,22358,0,1,0,25,0,62,0,0,56,0,101,77,0,-1,47,40,0,0,0,32,14,71,31,41,75,13,0,76,75,45,2019,1,25,48,74,0,0,4002,42,184,0,-1,77,110,145581,5,55,65,4195456,0,82,1,0,0,64,0,20209,7,2,0,56,28,1,0,0,0,0,91,50,72,0,0,0,1,15,3,0,0,0,158776,0,2,38,1,0,3,92,2,0,0,69,20209,77,0,8,0,1,4,0,75,0,4,0,0,0,30,0,2,0,0,-1,35,0,0
28214,26395,34000,0,65536,1,0,84,1,76,0,0,82,0,25,82,0,-1,84,93,2,1,0,88,13,72,31,85,90,8,0,84,81,88,2019,1,86,81,81,0,1,1020,76,188,3,10,92,217,153140,14,87,92,327680,0,90,1,0,0,84,0,20289,6,4,0,87,89,3,2,0,0,0,83,72,78,0,0,0,3,14,3,0,0,16,159222,1,0,108,1,0,4,77,2,0,0,67,20289,82,0,12,0,2,10,0,87,0,3,1,0,0,30,0,5,0,0,-1,82,0,0
1530,11859,11859,0,262144,3,4,12,1,28,0,0,13,0,24,19,0,-1,30,25,0,0,0,12,69,19,31,11,70,75,0,70,67,22,2018,1,19,11,20,0,0,25,42,196,1,-1,70,61,145721,0,15,23,0,2,77,0,5,0,21,0,20551,58,2,0,38,20,0,4,0,0,0,32,36,12,0,0,0,1,65,1,1,0,0,158452,1,0,46,1,0,2,62,2,0,1,31,20551,15,0,71,0,0,2,0,70,0,3,0,0,0,30,0,4,0,0,-1,17,0,2
13959,2452,13959,0,66560,1,8,81,1,57,0,0,62,0,26,43,0,-1,64,65,0,1,0,70,11,46,31,72,65,6,0,70,65,73,2018,1,55,66,37,0,0,4002,44,181,3,-1,66,70,145386,14,68,71,66560,0,77,0,0,0,59,0,20699,7,2,0,67,77,2,3,0,0,0,48,50,39,0,1,0,1,16,4,0,0,0,157552,1,0,46,1,0,3,49,2,0,0,53,20699,59,0,6,0,2,4,0,65,0,2,1,0,0,30,0,2,0,0,-1,65,0,0
22357,21642,21641,21641,36864,1,6,94,1,91,0,0,78,0,36,17,0,-1,75,74,0,1,0,80,12,24,31,92,84,15,0,78,80,84,2020,0,67,89,13,0,0,1516,82,175,0,16,55,267,153140,12,88,79,33636872,0,67,1,0,0,84,0,20775,10,3,1,79,73,4,0,0,2,0,74,84,41,0,0,0,2,14,3,0,0,24,158066,0,1,38,1,0,4,63,2,0,0,65,20775,29,0,5,0,4,4,0,84,0,5,0,25,0,30,0,2,0,0,-1,80,0,0
6116,1336,6154,6154,4096,1,12,82,1,79,0,0,75,0,88,33,0,14,76,67,0,0,0,72,7,41,31,77,78,5,0,73,83,80,2020,1,70,83,32,0,0,2012,65,178,3,27,54,178,146394,18,82,71,278528,1,68,0,0,0,75,0,20800,6,3,0,78,74,3,4,0,0,0,73,69,47,0,0,0,1,11,3,0,0,0,159162,1,1,38,1,0,4,70,2,0,0,53,20800,48,0,11,0,3,5,0,78,0,5,0,0,0,30,0,1,0,0,-1,68,0,0
4260,29059,22768,5698,1048576,1,0,81,1,87,0,0,95,0,65,31,0,-1,77,85,1,2,0,93,7,29,31,84,94,11,82,96,95,82,2022,1,94,88,23,0,0,1505,91,187,3,27,79,176,153140,25,94,95,213004,2,83,1,0,0,70,0,20801,15,5,1,81,76,4,3,0,2,0,63,89,89,0,1,0,2,11,4,0,0,8,159222,0,1,38,1,0,4,95,0,0,0,88,20801,28,0,14,0,4,5,0,94,0,5,0,0,0,30,0,16,0,2,-1,87,0,0
21867,5674,5674,0,5120,1,8,50,1,67,0,0,56,0,36,29,0,12,51,60,0,0,0,55,10,23,31,51,57,16,27,55,56,52,2018,0,60,59,29,0,0,1504,51,165,0,18,39,27,145733,25,60,55,17416,0,66,0,0,0,85,0,22391,13,1,0,57,49,2,0,0,0,0,55,54,56,0,0,0,1,14,4,0,0,0,156038,1,0,25,1,0,4,82,2,0,0,29,22391,47,0,13,0,2,2,0,57,0,4,0,0,0,30,0,9,0,0,16,56,0,0
