homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
8,15,5,11,3,9,46,0,0,0,0,0,4,4,0,221,3,1,25,7,2013,3,1,5,7,0,2,0,1,0,2,1,0,33
7,9,8,13,4,12,20,0,0,0,0,0,4,4,0,20000,3,1,26,7,15005,3,0,3,5,1,1,0,2,0,3,1,1,23
9,7,5,12,2,4,26,0,0,0,0,0,4,4,0,210,3,0,27,7,100081,3,1,3,5,1,2,0,2,0,2,1,1,23
2,12,2,14,5,10,13,0,1,0,0,0,4,4,0,1001,3,0,28,7,110913,3,0,3,4,1,0,1,1,0,3,1,3,19
3,14,1,16,2,7,20,0,0,0,0,0,4,4,0,2,5,1,29,7,111560,5,0,5,3,1,3,0,0,0,3,0,0,14
8,10,13,15,9,25,46,0,0,0,0,0,7,7,0,20102,5,6,30,25,517,5,1,3,29,2,1,0,0,0,9,3,5,30
9,14,11,10,13,21,33,0,0,0,0,0,7,7,0,1120,3,6,31,25,567,3,2,8,31,2,3,0,2,0,7,4,3,33
8,5,13,7,6,11,46,0,0,0,0,0,7,7,0,21111,8,6,32,25,568,8,2,9,34,2,2,0,1,0,5,6,4,33
11,9,23,6,18,18,53,0,0,0,0,0,7,7,0,1221,8,9,33,25,1035,8,3,8,42,1,2,0,1,0,5,4,2,53
11,11,26,11,4,17,40,0,0,0,0,0,7,7,0,20002,3,8,34,25,1039,3,0,3,30,1,3,0,0,0,8,5,1,56
3,18,18,2,14,12,53,0,0,0,0,0,7,7,0,11220,9,9,35,25,1048,9,5,3,49,0,0,1,2,0,4,4,3,76
9,3,18,9,10,14,73,0,0,0,0,0,7,7,0,22121,3,5,36,24,1053,3,3,0,32,4,3,0,1,0,5,4,4,53
12,12,20,14,5,18,46,0,0,0,0,0,7,7,0,20201,3,6,37,25,1598,3,1,3,29,1,2,0,1,0,8,3,5,40
5,4,23,5,8,7,46,0,0,0,0,0,7,7,0,2102,8,8,38,25,1629,8,4,9,44,2,1,0,0,0,4,4,4,60
12,16,14,13,9,30,66,0,0,0,0,0,7,7,0,22120,3,7,39,25,1719,3,1,5,29,0,3,0,2,0,9,3,2,36
14,20,9,20,2,19,6,0,0,0,0,0,7,7,0,100,5,3,40,25,111048,5,0,5,16,2,4,0,2,0,11,1,6,10
12,15,12,19,9,26,26,0,0,0,0,0,7,7,0,2010,5,4,41,25,111057,5,2,5,24,2,3,0,2,0,10,1,5,16
13,19,11,17,6,12,66,0,0,0,0,0,7,7,0,2212,5,4,42,25,111059,5,2,5,27,2,4,0,0,0,6,4,5,53
12,17,17,12,7,17,33,0,0,0,0,0,7,7,0,10210,3,6,43,25,112001,3,2,5,30,0,2,0,2,0,9,1,5,43
11,8,18,16,8,25,46,0,0,0,0,0,7,7,0,1022,5,6,44,25,112476,5,0,3,28,2,1,0,0,0,8,5,5,40
1,2,9,2,5,0,86,0,0,1,1,0,10,10,0,12222,10,2,45,5,245,10,2,0,13,2,0,1,0,1,0,0,1,86
2,4,7,3,6,6,66,0,0,0,0,0,10,10,0,2221,10,2,46,5,246,10,1,0,10,2,0,1,1,0,1,1,0,66
1,1,10,1,11,2,100,0,0,0,1,1,10,10,0,22222,0,2,47,5,247,0,3,0,15,1,0,1,0,1,0,0,0,100
3,16,2,11,5,6,33,0,0,0,0,0,10,10,0,10012,3,0,48,5,634,3,1,3,5,1,1,0,0,0,1,1,1,33
3,17,3,15,1,4,26,0,0,0,0,0,10,10,0,20010,3,1,49,5,635,3,0,5,4,0,2,0,2,0,1,1,0,26
10,7,4,10,6,6,40,0,0,0,0,0,10,10,0,220,3,1,50,5,650,3,1,3,6,1,2,0,2,0,1,0,0,40
3,5,4,14,1,5,33,0,0,0,0,0,10,10,0,2110,3,1,51,5,1903,3,0,8,5,2,1,0,2,0,1,1,1,33
5,14,5,17,2,9,20,0,0,0,0,0,10,10,0,2000,5,1,52,5,1904,5,0,3,3,2,2,0,2,0,2,0,0,20
1,3,6,5,6,4,53,0,0,0,0,0,10,10,0,22101,8,1,53,5,1906,8,1,10,8,2,0,1,1,0,1,0,2,53
3,13,7,8,2,6,46,0,0,0,0,0,10,10,0,2201,3,1,54,5,1907,3,1,3,7,1,1,0,1,0,1,0,1,46
5,6,5,6,3,1,53,0,0,0,0,0,10,10,0,21102,8,1,55,5,1909,8,1,8,8,1,1,0,0,1,0,2,0,53
11,8,7,12,4,3,33,0,0,0,0,0,10,10,0,21010,3,0,56,5,1913,3,1,8,5,2,2,0,2,1,0,1,1,33
7,9,3,16,1,2,20,0,0,0,0,0,10,10,0,20,5,0,57,5,1914,5,1,3,3,2,3,0,2,0,1,0,0,20
2,12,0,18,2,8,20,0,0,0,0,0,10,10,0,200,5,0,58,5,1915,5,1,8,3,4,2,0,2,0,2,0,0,20
5,11,3,13,4,5,33,0,0,0,0,0,10,10,0,10201,3,0,59,5,1971,3,1,3,5,1,1,0,1,0,1,1,1,33
5,18,2,9,4,7,46,0,0,0,0,0,10,10,0,20012,3,0,60,5,100628,3,2,5,7,0,1,0,0,0,1,0,1,46
4,10,7,4,6,9,66,0,0,0,0,0,10,10,0,12022,8,2,61,5,100634,8,1,3,10,0,0,1,0,0,1,1,0,66
2,15,1,7,4,2,53,0,0,0,0,0,10,10,0,20112,8,0,62,5,100651,8,2,3,8,0,1,0,0,1,0,1,1,53
3,6,3,7,7,6,60,0,0,0,0,0,13,13,0,222,3,1,63,5,1,3,2,1,9,3,1,0,0,0,1,0,0,60
3,5,9,1,5,1,100,0,0,1,1,0,13,13,0,22222,0,3,64,5,5,0,2,1,15,0,0,1,0,1,0,0,0,100
5,8,4,10,4,4,40,0,0,0,0,0,13,13,0,12110,3,1,65,5,7,3,0,2,6,2,1,0,2,1,0,2,1,40
0,4,5,2,6,2,100,0,0,1,1,0,13,13,0,22222,1,2,66,5,9,1,3,0,15,2,0,1,0,1,0,0,0,100
2,1,11,3,3,1,86,0,0,0,1,1,13,13,0,22122,1,3,67,5,10,1,1,0,13,2,0,1,0,1,0,1,0,86
4,2,2,8,6,4,60,0,0,0,0,0,13,13,0,20022,3,1,68,5,11,3,2,0,9,4,1,0,0,0,1,0,0,60
6,10,3,19,1,2,6,0,1,0,0,0,13,13,0,1000,4,0,69,5,13,4,0,2,1,4,3,0,2,0,1,1,0,6
4,17,3,13,3,2,33,0,0,0,0,0,13,13,0,10021,3,0,70,5,17,3,1,3,5,1,1,0,1,0,1,0,2,33
3,3,4,6,6,3,60,0,0,0,0,0,13,13,0,22200,3,1,71,5,18,3,2,1,9,3,1,0,2,0,1,0,0,60
3,13,1,16,4,8,20,0,0,0,0,0,13,13,0,2,5,0,72,5,19,5,1,2,3,3,2,0,0,0,2,0,0,20
2,9,3,11,5,7,40,0,0,0,0,0,13,13,0,2200,3,1,73,5,95,3,1,3,6,1,1,0,2,0,2,0,0,40
3,1,4,9,1,2,53,0,0,0,0,1,13,14,0,10122,3,1,74,5,110,3,1,3,8,1,0,1,0,0,1,0,2,53
4,3,4,15,3,8,26,0,0,0,0,0,13,14,0,210,5,1,75,5,144,5,0,4,4,1,1,0,2,0,2,1,0,26
4,14,7,4,3,1,80,0,0,0,0,0,13,13,0,22220,1,3,76,5,1795,1,1,3,12,0,1,0,2,1,0,0,0,80
5,7,1,20,2,5,6,0,1,0,0,0,13,13,0,10000,4,0,77,5,1796,4,0,3,1,3,2,0,2,0,2,1,0,6
4,11,0,12,4,2,40,0,0,0,0,0,13,13,0,20002,3,0,78,5,1799,3,2,3,6,1,2,0,0,0,1,0,0,40
4,15,5,14,2,5,33,0,0,0,0,0,13,13,0,2011,3,1,79,5,1808,3,0,4,5,0,0,1,1,0,2,1,1,33
4,16,0,18,2,7,13,0,1,0,0,0,13,13,0,110,4,0,80,5,1939,4,0,4,2,2,2,0,2,0,1,1,1,13
4,12,8,5,2,3,66,0,0,0,0,0,13,13,0,22102,2,2,81,5,1943,2,1,4,10,0,0,1,0,0,1,0,1,66
3,2,2,17,1,6,13,0,1,0,0,0,13,14,0,1100,5,0,82,5,1961,5,0,4,2,1,1,0,2,0,2,1,1,13
5,4,8,7,6,7,40,0,0,0,0,0,14,14,6,11012,8,2,83,8,2,8,1,7,13,2,0,1,0,0,1,2,2,54
3,2,4,14,4,6,40,0,0,0,0,0,14,60,6,12011,3,1,84,8,3,3,1,3,11,2,0,1,1,0,1,2,3,45
7,21,4,15,5,5,26,0,0,0,0,0,14,14,6,20100,3,1,85,8,4,3,2,4,11,0,2,0,2,0,1,1,1,45
1,13,8,1,10,4,60,0,0,0,1,0,14,14,6,12112,6,3,86,8,8,6,2,7,18,0,0,1,0,1,0,2,1,75
0,5,7,2,4,3,66,0,0,0,0,0,14,14,6,22102,6,4,87,8,12,6,1,6,17,1,0,1,0,0,1,2,0,70
4,17,6,11,4,5,40,0,0,0,0,0,14,14,6,11012,3,2,88,8,14,3,0,6,11,4,0,1,0,0,1,3,2,45
5,16,4,16,3,9,66,0,0,0,0,0,14,14,6,2122,3,2,89,8,15,3,1,3,10,2,2,0,0,0,2,1,0,41
3,19,3,20,2,4,26,0,1,0,0,0,14,14,6,1111,5,0,90,8,88,5,0,3,6,3,0,1,1,0,2,2,4,25
4,6,5,9,5,5,66,0,0,0,0,0,14,14,6,22201,3,2,91,8,91,3,2,7,13,3,1,0,1,0,2,0,1,54
5,12,5,24,1,7,13,0,1,0,0,0,14,14,6,101,4,0,92,8,94,4,0,8,4,3,0,1,1,0,4,0,4,16
6,8,6,21,1,5,6,0,0,0,0,0,14,14,6,10,5,1,93,8,97,5,0,8,6,2,1,0,2,0,3,1,2,25
6,20,14,4,6,6,66,0,0,0,0,0,14,13,6,20212,7,3,94,8,109,7,1,6,14,2,1,0,0,0,1,2,0,58
7,14,6,12,6,6,66,0,0,0,0,0,14,14,6,20122,3,2,95,8,1792,3,1,7,11,3,2,0,0,0,1,2,0,45
7,20,3,22,6,6,33,0,0,0,0,0,14,14,6,11020,4,0,96,8,1793,4,1,3,5,4,4,0,2,0,1,2,0,20
4,10,7,6,5,5,66,0,0,0,0,0,14,14,6,22201,7,2,97,8,1794,7,2,8,13,0,1,0,1,0,2,0,1,54
3,4,5,18,1,10,40,0,0,0,0,0,14,60,6,2020,5,3,98,8,1797,5,0,4,9,1,1,0,2,0,4,0,0,37
7,7,7,23,0,8,6,0,0,0,0,0,14,14,6,100,4,1,99,8,1801,4,0,8,5,3,1,0,2,0,4,0,2,20
4,19,4,17,6,9,46,0,0,0,0,0,14,13,6,2012,5,2,100,8,1806,5,0,6,9,4,1,0,0,0,2,2,1,37
5,15,7,13,5,8,66,0,0,0,0,0,14,14,6,22210,3,2,101,8,1807,3,1,7,11,3,0,1,2,0,3,0,2,45
5,1,8,8,5,6,60,0,0,0,0,1,14,60,6,20202,8,3,102,8,1917,8,1,4,13,0,0,1,0,0,3,0,1,54
4,11,6,5,8,6,80,0,0,0,0,0,14,14,6,22220,7,2,103,8,1919,7,2,7,14,1,1,0,2,0,1,1,1,58
2,9,11,3,4,5,53,0,0,0,0,0,14,14,6,10221,7,4,104,8,1925,7,0,7,15,1,0,1,1,0,1,3,0,62
6,18,4,19,5,7,40,0,0,0,0,0,14,14,6,20020,5,1,105,8,1952,5,1,8,7,2,3,0,2,0,2,1,0,29
3,18,3,10,4,3,33,0,0,0,0,0,14,13,6,10210,3,1,106,8,1960,3,2,6,12,4,1,0,2,0,1,1,2,50
6,6,5,19,1,4,26,0,0,0,0,0,16,16,0,201,4,1,107,5,59,4,0,2,4,4,1,0,1,0,2,0,1,26
5,12,2,20,1,9,0,0,1,0,0,0,16,16,0,0,4,0,108,5,62,4,0,3,0,3,2,0,2,0,3,0,0,0
1,17,6,3,3,3,66,0,0,0,0,0,16,16,0,21202,1,2,109,5,65,1,1,2,10,0,0,1,0,0,1,1,0,66
1,3,4,7,2,3,46,0,0,0,0,0,16,16,0,20201,3,2,110,5,66,3,0,1,7,3,1,0,1,0,1,1,0,46
3,2,2,15,5,4,33,0,0,0,0,0,16,16,0,21001,5,0,111,5,69,5,1,1,5,4,1,0,1,0,1,1,1,33
3,10,2,6,3,1,53,0,0,0,0,0,16,16,0,2121,3,0,112,5,70,3,2,3,8,1,1,0,1,1,0,0,2,53
4,9,2,17,3,4,33,0,0,0,0,0,16,16,0,121,5,0,113,5,71,5,1,2,5,3,1,0,1,0,1,0,2,33
6,8,2,11,2,1,46,0,0,0,0,0,16,16,0,1022,3,1,114,5,72,3,1,2,7,2,2,0,0,1,0,1,0,46
1,1,10,1,7,3,100,0,0,0,1,1,16,16,0,22222,0,3,115,5,73,0,2,0,15,1,0,1,0,1,0,0,0,100
0,5,3,9,4,7,46,0,0,0,0,0,16,16,0,2120,3,2,116,5,74,3,0,2,7,2,0,1,2,0,2,1,0,46
4,15,3,16,3,3,33,0,0,0,0,0,16,16,0,21001,5,0,117,5,76,5,1,4,5,1,1,0,1,0,1,1,1,33
3,16,3,13,3,4,40,0,0,0,0,0,16,16,0,1121,3,0,118,5,210,3,1,4,6,0,0,1,1,0,1,1,2,40
2,4,10,2,4,5,66,0,0,0,0,0,16,16,0,20122,1,2,119,5,219,1,1,1,10,1,0,1,0,0,1,0,1,66
5,2,5,8,7,7,46,0,0,0,0,0,16,17,0,22001,3,1,120,5,224,3,1,4,7,0,1,0,1,0,1,1,0,46
1,1,1,10,2,4,46,0,0,0,0,1,16,17,0,22001,3,1,121,5,379,3,1,4,7,0,1,0,1,0,1,1,0,46
4,14,4,12,4,5,40,0,0,0,0,0,16,16,0,22,3,1,122,5,1530,3,1,3,6,1,1,0,0,0,2,0,0,40
2,18,4,4,2,5,66,0,0,0,0,0,16,16,0,2221,2,2,123,5,1809,2,1,3,10,0,0,1,1,0,1,0,1,66
6,13,7,18,0,2,26,0,0,0,0,0,16,16,0,210,5,1,124,5,1816,5,0,4,4,1,2,0,2,0,1,1,0,26
1,7,2,14,1,5,40,0,0,0,0,0,16,16,0,21110,3,1,125,5,1819,3,0,2,6,2,0,1,2,0,1,2,1,40
5,11,3,5,6,1,60,0,0,0,0,0,16,16,0,22200,3,1,126,5,110569,3,2,4,9,0,2,0,2,1,0,0,0,60
5,11,3,16,4,6,40,0,0,0,0,0,17,17,6,22000,5,1,127,7,57,5,1,7,6,4,2,0,2,0,3,0,0,28
0,14,5,3,5,2,80,0,0,0,0,0,17,17,6,22202,6,3,128,6,64,7,2,6,15,2,0,1,0,0,1,0,0,83
2,20,10,1,8,3,100,0,0,1,1,0,17,16,6,22222,6,3,129,7,68,6,4,6,21,1,0,1,0,1,0,0,0,100
3,9,3,13,1,3,40,0,0,0,0,0,17,17,6,11120,3,1,130,7,212,3,0,5,7,0,1,0,2,0,1,3,1,33
1,7,4,2,8,2,86,0,0,1,1,0,17,17,6,22122,7,2,131,7,217,6,3,6,17,1,0,1,0,1,0,1,1,80
1,10,3,11,3,6,60,0,0,0,0,0,17,17,6,22020,3,2,132,7,226,3,1,3,9,1,1,0,2,0,3,0,0,42
4,19,3,17,1,4,20,0,0,0,0,0,17,16,6,2,5,1,133,7,294,5,1,6,6,4,3,0,0,0,2,0,0,28
3,5,6,4,4,3,66,0,0,0,0,0,17,17,6,10222,8,2,134,7,378,8,2,7,13,2,1,0,0,0,1,0,1,61
4,3,2,18,2,5,13,0,0,0,0,0,17,17,6,101,5,0,135,7,614,5,1,7,5,4,2,0,1,0,2,0,2,23
2,4,4,6,2,1,66,0,0,0,0,0,17,17,6,21022,8,1,136,7,1738,8,2,7,12,2,0,1,0,0,1,1,2,57
2,20,6,9,1,4,46,0,0,0,0,0,17,17,6,20102,3,3,137,7,1805,3,0,5,11,0,0,1,0,0,2,1,1,52
3,15,7,5,3,4,46,0,0,0,0,0,17,17,6,1220,8,2,138,7,1813,8,2,5,13,0,0,1,2,0,2,0,1,61
3,6,5,8,6,4,66,0,0,0,0,0,17,17,6,1222,3,2,139,7,1815,3,1,8,11,2,1,0,0,0,1,1,1,52
7,17,0,20,0,4,0,0,1,0,0,0,17,17,6,0,5,0,140,7,1823,5,0,7,0,4,4,0,2,0,3,0,0,0
5,16,6,10,4,6,46,0,0,0,0,0,17,17,6,2120,3,2,141,7,110316,3,1,5,11,0,1,0,2,0,1,1,1,52
6,13,4,12,4,7,13,0,0,0,0,0,17,17,6,10100,3,1,142,7,110456,3,1,3,8,1,1,0,2,0,2,0,2,38
6,18,2,19,2,4,26,0,0,0,0,0,17,17,6,1200,5,1,143,7,111273,5,0,5,4,2,3,0,2,0,2,1,0,19
0,8,5,7,2,6,53,0,0,0,0,0,17,17,6,12021,3,3,144,7,111817,3,0,3,12,1,0,1,1,0,1,3,0,57
5,12,6,14,3,9,46,0,0,0,0,0,17,17,6,1202,3,2,145,7,112276,3,0,5,7,0,2,0,0,0,2,1,0,33
4,19,1,15,3,2,20,0,0,0,0,0,17,17,6,2000,5,0,146,6,113948,5,2,5,6,1,2,0,2,0,2,0,0,33
2,1,6,1,3,0,100,0,0,1,1,1,19,19,0,222,0,2,147,3,21,0,1,0,9,1,0,1,0,1,0,0,0,100
2,4,7,2,0,0,77,0,0,1,1,0,19,19,0,212,1,2,148,3,22,1,0,1,7,1,0,1,0,1,0,1,0,77
1,9,4,4,1,1,77,0,0,1,1,0,19,19,0,212,1,2,149,3,23,1,0,2,7,0,0,1,0,1,0,1,0,77
5,15,3,15,1,3,11,0,1,0,0,0,19,19,0,1,5,0,150,3,25,5,0,4,1,1,1,0,1,0,1,0,1,11
3,5,1,18,1,5,0,0,1,0,0,0,19,19,0,0,4,0,151,3,32,4,0,1,0,4,1,0,2,0,2,0,0,0
2,2,0,17,2,4,0,0,1,0,0,0,19,19,0,0,4,0,152,3,34,4,0,1,0,4,1,0,2,0,2,0,0,0
3,7,0,16,3,4,11,0,1,0,0,0,19,19,0,1,5,0,153,3,36,5,0,3,1,2,1,0,1,0,1,1,0,11
2,11,2,7,2,1,55,0,0,1,1,0,19,19,0,121,3,0,154,3,38,3,1,3,5,1,0,1,1,1,0,0,2,55
0,10,1,5,4,2,77,0,0,1,1,0,19,19,0,221,2,1,155,3,166,2,1,3,7,0,0,1,1,1,0,1,0,77
1,14,3,6,1,1,77,0,0,1,1,0,19,19,0,212,2,2,156,3,169,2,0,3,7,0,0,1,0,1,0,1,0,77
1,2,1,14,1,2,22,0,1,0,0,0,19,20,0,11,5,0,157,3,171,5,0,4,2,1,0,1,1,0,1,1,1,22
3,16,4,3,3,1,77,0,0,1,1,0,19,19,0,221,1,1,158,3,175,1,1,3,7,0,0,1,1,1,0,0,1,77
0,13,0,13,3,4,22,0,1,0,0,0,19,19,0,110,3,0,159,3,485,3,0,3,2,1,0,1,2,0,1,1,1,22
2,8,1,12,3,3,33,0,0,0,0,0,19,19,0,200,3,0,160,3,1824,3,1,3,3,1,1,0,2,0,1,0,0,33
1,3,3,11,2,5,33,0,0,0,0,0,19,19,0,20,3,1,161,3,10029,3,0,2,3,2,0,1,2,0,2,0,0,33
1,12,1,8,3,3,44,0,0,0,0,0,19,19,0,210,3,0,162,3,100409,3,1,3,4,1,0,1,2,0,1,0,1,44
3,1,3,9,1,1,44,0,0,0,0,1,19,20,0,12,3,1,163,3,110636,3,0,4,4,0,1,0,0,1,0,1,0,44
3,6,4,10,1,4,44,0,0,0,0,0,19,19,0,12,3,1,164,3,112172,3,0,1,4,3,0,1,0,0,1,0,1,44
5,17,6,1,4,0,80,0,0,0,0,0,20,19,6,2222,6,2,165,5,28,6,2,6,12,1,1,0,0,1,0,0,0,80
7,18,7,4,7,3,66,0,0,0,0,0,20,19,6,21220,8,1,166,5,31,8,2,6,10,3,1,0,2,1,0,0,1,66
4,4,7,9,1,4,53,0,0,0,0,0,20,20,6,12021,3,2,167,5,159,3,0,3,8,1,0,1,1,0,1,2,0,53
2,6,7,3,4,2,66,0,0,0,0,0,20,20,6,2212,7,2,168,5,160,7,1,8,10,0,1,0,0,1,0,1,0,66
4,15,9,2,2,1,73,0,0,0,1,0,20,20,6,21122,6,2,169,5,165,6,1,3,11,0,0,1,0,1,0,1,1,73
4,14,2,10,3,2,40,0,0,0,0,0,20,20,6,20020,3,1,170,5,503,3,1,3,6,1,2,0,2,0,1,0,0,40
1,16,3,14,3,7,26,0,0,0,0,0,20,20,6,1002,5,1,171,5,506,5,0,5,4,1,0,1,0,0,3,0,1,26
3,5,2,15,3,7,26,0,0,0,0,0,20,20,6,20100,5,1,172,5,543,5,0,5,4,1,1,0,2,0,2,0,1,26
2,3,3,8,4,4,53,0,0,0,0,0,20,20,6,21120,3,1,173,5,576,3,1,5,8,0,0,1,2,0,1,1,1,53
3,7,0,18,2,6,6,0,1,0,0,0,20,20,6,1,5,0,174,5,1825,5,0,3,1,3,2,0,1,0,2,1,0,6
3,8,7,6,1,1,60,0,0,1,1,0,20,20,6,21211,8,2,175,5,1831,8,0,7,9,2,0,1,1,1,0,2,1,60
2,2,4,7,7,6,53,0,0,0,0,0,20,2076,6,2112,3,1,176,5,10030,3,1,5,8,0,0,1,0,0,1,1,1,53
3,11,0,17,2,5,13,0,1,0,0,0,20,20,6,11,5,0,177,5,110178,5,0,5,2,2,1,0,1,0,2,1,1,13
5,12,5,11,4,8,40,0,0,0,0,0,20,20,6,22000,3,1,178,5,110329,3,1,3,6,1,1,0,2,0,2,0,0,40
1,10,5,5,1,2,66,0,0,0,0,0,20,20,6,20221,8,2,179,5,110502,8,1,3,10,0,0,1,1,0,1,0,1,66
3,1,2,16,1,2,20,0,1,0,0,1,20,2076,6,1101,5,0,180,5,110588,5,0,5,3,1,1,0,1,0,1,1,2,20
2,13,1,12,6,5,33,0,0,0,0,0,20,20,6,11200,3,0,181,5,111235,3,1,3,5,1,1,0,2,0,1,1,1,33
3,9,4,13,2,9,33,0,0,0,0,0,20,20,6,1120,3,1,182,5,111239,3,0,7,5,3,0,1,2,0,2,1,1,33
1,7,4,13,3,5,33,0,0,0,0,0,31,31,0,2100,3,1,183,4,39,3,0,2,4,2,1,0,2,0,1,1,0,33
3,4,2,14,3,1,33,0,0,0,0,0,31,31,0,120,5,0,184,4,44,3,1,0,4,4,1,0,2,0,1,0,1,33
1,1,4,1,5,3,100,0,0,1,1,1,31,31,0,2222,0,2,185,4,45,0,2,0,12,1,0,1,0,1,0,0,0,100
2,5,2,8,1,2,50,0,0,0,0,0,31,31,0,22,3,1,186,4,46,3,1,1,6,3,1,0,0,0,1,0,0,50
1,6,2,15,3,4,44,0,0,0,0,0,31,31,0,21,3,1,187,3,47,5,0,1,4,4,0,1,1,0,1,1,0,44
2,2,4,3,2,4,75,0,0,0,0,0,31,31,0,2202,1,2,188,4,48,1,1,0,9,2,0,1,0,0,1,0,0,75
4,2,3,17,1,1,33,0,0,0,0,0,31,32,0,1002,5,0,189,4,50,5,1,4,4,1,1,0,0,0,1,0,1,33
5,3,5,9,2,2,41,0,0,0,0,0,31,31,0,2101,3,0,190,4,52,3,1,0,5,4,0,1,1,0,1,0,2,41
1,9,1,10,3,3,41,0,0,0,0,0,31,31,0,121,3,1,191,4,54,3,0,2,5,2,1,0,1,1,0,2,0,41
1,14,2,11,2,3,41,0,0,0,0,0,31,31,0,1201,3,1,192,4,55,3,0,3,5,1,0,1,1,0,1,1,1,41
4,15,0,18,0,1,8,0,1,0,0,0,31,31,0,100,4,0,193,4,189,4,0,3,1,3,2,0,2,0,1,1,0,8
3,13,2,20,3,8,16,0,1,0,0,0,31,31,0,11,4,0,194,4,192,4,0,4,0,2,1,0,1,0,1,1,1,16
1,1,2,16,1,2,33,0,0,0,0,1,31,32,0,2010,5,1,195,4,1746,5,0,4,4,1,1,0,2,0,1,1,0,33
