assetid,balltype,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,teamcolor2r,foundationyear,teamcolor3r,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,teamcolor2g,teamname,teamcolor3b,defmentality,powid,defensivestyle,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,popularity,hastifo,teamstadiumcapacity,iscompetitionscarfenabled,cityid,defensivewidth,rivalteam,isbannerenabled,midfieldrating,matchdayoverallrating,matchdaymidfieldrating,attackrating,playersinboxcorner,longitude,buspassing,matchdaydefenserating,defenserating,iscompetitionpoleflagenabled,skinnyflags,defteamwidth,longkicktakerid,bodytypeid,trait1vweak,busdribbling,rightcornerkicktakerid,suitvariationid,uefa_cl_wins,domesticcups,defaggression,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,suittypeid,numtransfersin,playersinboxfk,stanchionflamethrower,captainid,offensivestyle,personalityid,playersinboxcross,prev_el_champ,leftfreekicktakerid,leaguetitles,genericbanner,buspositioning,ccpositioning,busbuildupspeed,transferbudget,ccshooting,overallrating,offensivewidth,ccpassing,profitability,utcoffset,penaltytakerid,freekicktakerid,crowdskintonecode,defdefenderline,internationalprestige,trainingstadium,form,genericint1,cccrossing,trait1vstrong,matchdayattackrating
15,45,66,32,26000,255,255,1882,32,151,2,51,66,3,255,Queens Park Rangers,171,46,-1,1,203138,4,4,-1,4,0,2,3,0,18439,2,285,5,144,2,71,71,72,70,2,0,50,72,70,2,0,42,169078,1,155972,40,169078,0,0,0,49,2,169078,6,15,0,1073476,2,0,2,0,164855,1,0,2,0,169078,0,0,0,0,53,3800000,42,70,5,69,9,0,204276,169078,2,1,1,353,0,-1,70,1069380,71
17,120,1,221,981500,255,255,1885,221,1,5,50,1,3,255,Southampton,1,75,-1,2,205569,4,5,-1,5,0,1,6,0,32384,0,459,3,1790,0,77,77,77,76,2,-1,37,77,77,0,0,68,205569,1,132416,32,205569,0,0,1,58,2,205569,7,17,0,263488,0,0,2,0,169705,0,0,4,0,205569,0,0,0,0,38,50000000,38,77,3,38,7,0,195671,205569,2,0,4,353,0,-1,38,1057088,77
18,120,255,255,2375000,88,1,1882,255,255,5,51,255,3,26,Tottenham Hotspur,255,68,-1,3,190765,4,9,-1,5,0,1,8,0,62062,0,285,5,1,0,83,83,82,89,2,0,36,82,82,2,0,33,184200,1,132116,42,190765,1,0,8,63,4,190765,6,18,2,132116,0,0,2,0,188802,0,0,6,0,190765,2,0,0,1,38,85000000,33,83,5,33,5,0,184200,190460,2,0,8,353,0,-1,33,1056788,88
19,120,43,114,1050000,249,105,1895,120,69,4,51,50,2,183,West Ham United,80,45,-1,1,222492,4,6,-1,4,0,2,7,0,60000,0,285,3,97,0,78,79,79,80,2,0,52,77,77,0,0,59,204366,1,1056768,47,139313,1,0,3,43,4,139313,4,19,0,1056768,0,0,2,0,136113,0,0,5,0,222492,0,0,0,0,50,74000000,59,78,4,63,4,0,225719,152879,2,0,5,353,0,-1,47,544768,81
21,114,5,220,2815700,255,255,1900,203,45,6,48,48,2,255,Bayern München,66,74,-1,3,245665,4,10,-1,3,0,1,10,0,75000,1,333,3,22,1,85,86,85,90,2,11,33,86,85,1,0,49,231949,1,98948,53,245665,1,5,18,59,2,245665,5,21,1,295556,0,0,2,0,245665,3,0,2,0,245665,28,0,0,1,28,100000000,53,85,3,26,4,1,245665,197445,2,0,9,353,0,-1,49,282756,89
22,114,230,255,991909,1,1,1909,222,1,4,51,215,2,1,Borussia Dortmund,1,76,-1,1,229865,4,8,-1,6,0,2,9,0,81365,1,141,5,34,1,80,80,80,81,2,7,39,80,79,1,0,32,217225,1,295556,51,229865,0,1,4,52,2,229865,6,22,0,296068,1,0,2,0,241131,1,0,3,0,229865,8,0,0,1,37,60000000,42,80,5,32,3,1,217225,188350,2,0,7,353,0,-1,42,561284,80
23,114,1,1,326770,255,255,1900,1,1,5,51,120,3,255,Borussia M'gladbach,1,68,-1,4,144622,4,6,-1,5,0,2,7,1,54057,1,322,4,31,1,78,79,78,80,2,6,40,77,77,1,0,44,144622,2,66578,23,203486,1,0,3,64,2,203486,6,23,2,132114,1,0,2,0,177683,0,0,3,0,144622,5,0,0,1,39,25000000,54,78,5,34,6,1,203486,144622,2,0,5,353,0,-1,54,266258,80
25,114,1,228,125320,1,1,1904,255,43,3,47,255,6,1,SC Freiburg,255,46,-1,1,209846,4,1,-1,3,0,2,3,0,24000,1,168,3,36,1,73,73,74,74,2,7,50,73,74,1,0,47,189945,0,132098,45,209846,0,0,0,39,2,189945,10,25,0,1056770,2,0,2,0,190671,1,1,2,0,189945,0,0,0,1,53,10500000,47,74,3,39,7,1,183580,189945,2,0,2,353,0,-1,45,528386,72
27,76,96,40,10040,255,255,1965,15,233,2,54,64,2,255,Hansa Rostock,180,66,-1,4,234284,4,4,-1,6,0,2,5,0,29000,1,641,6,503,1,65,65,66,65,2,12,36,65,66,1,0,61,234284,1,1049728,30,234284,1,0,0,61,2,234284,7,27,0,148608,2,0,2,0,201815,0,0,6,0,234284,0,0,0,1,36,650000,31,65,7,31,7,1,199881,234284,2,0,1,353,0,-1,71,1056896,66
28,116,90,1,179410,255,255,1887,235,170,2,53,235,6,255,Hamburger SV,235,68,-1,3,158138,4,10,-1,7,0,2,8,0,57000,1,205,5,110329,1,72,73,72,71,2,9,40,71,70,1,0,31,158138,2,99345,50,225206,0,1,3,61,2,210822,6,28,0,164881,2,0,2,0,158138,0,0,4,0,210822,6,0,0,0,36,18000000,51,72,5,31,8,1,158138,158138,2,0,3,353,0,-1,51,172049,71
29,76,1,255,11180,255,255,1900,153,1,2,49,24,1,255,1. FC Kaiserslautern,65,76,-1,2,189383,4,10,-1,6,0,2,6,0,49850,1,238,4,169,1,66,67,67,67,2,7,52,66,67,1,0,34,189383,1,172033,64,137708,1,0,2,54,2,210304,9,29,0,303105,2,0,2,0,137708,1,0,4,0,189383,4,0,0,0,52,750000,64,66,5,41,7,1,137708,189383,2,0,1,353,0,-1,54,544769,70
31,116,1,255,159750,255,255,1948,225,1,5,50,14,1,255,1. FC Köln,14,76,-1,2,208334,4,10,-1,5,0,2,8,0,49968,1,249,7,23,1,74,75,73,75,2,6,36,75,75,1,0,46,210489,1,66560,50,210489,0,0,4,56,2,208334,5,31,0,295936,2,0,2,0,208334,0,1,3,0,210489,3,0,0,0,36,12500000,36,75,7,36,7,1,183714,210489,2,0,3,353,0,-1,36,1073152,77
32,114,1,255,420767,1,1,1904,255,1,3,51,255,3,1,Bayer 04 Leverkusen,255,68,-1,4,229906,4,7,-1,6,0,2,4,0,30210,1,277,6,31,1,80,78,78,79,2,7,50,77,79,1,0,60,229906,0,99456,70,212194,1,0,1,70,2,229906,7,32,1,172160,2,0,2,0,177457,1,0,4,0,229906,0,0,0,1,53,39000000,62,80,6,69,3,1,216466,229906,2,0,6,353,0,-1,60,135296,79
33,76,200,145,8080,255,255,1860,20,241,2,48,75,4,255,TSV 1860 München,175,67,-1,3,204763,4,7,-1,3,0,2,6,0,15000,1,333,5,172,1,64,64,64,67,2,11,71,64,63,1,0,62,204763,1,69760,72,212237,1,0,2,62,2,204763,9,33,0,168064,2,0,2,0,238752,2,1,6,0,244029,1,0,0,0,73,1000000,78,64,5,75,3,1,195262,204763,2,0,1,353,0,-1,32,526464,68
34,114,75,1,691050,255,255,1904,13,156,4,51,70,2,255,FC Schalke 04,223,75,-1,2,189251,4,8,-1,3,0,2,8,1,62271,1,178,4,22,1,79,78,76,79,2,7,50,79,80,1,0,40,171919,1,115713,70,197083,0,0,5,60,2,197083,8,34,1,303105,1,0,2,0,179783,1,0,4,0,171919,7,0,0,0,53,42000000,42,79,6,69,6,1,197083,171919,2,0,6,353,0,-1,50,542721,78
36,114,255,255,273120,41,211,1893,1,255,2,48,1,5,1,VfB Stuttgart,1,75,-1,2,221797,4,6,-1,5,0,2,7,0,60449,1,466,3,25,1,77,76,76,75,2,9,70,76,77,1,0,35,226851,1,181505,35,221797,1,0,3,55,4,221797,7,36,0,266497,1,0,2,0,158856,2,0,2,0,221797,5,0,0,0,70,20000000,77,77,5,69,4,1,150418,221797,2,0,4,353,0,-1,35,1052929,76
38,114,146,1,154600,255,255,1899,0,82,2,53,108,4,255,Werder Bremen,64,48,-1,1,183574,4,5,-1,5,0,2,5,0,42100,1,70,6,28,1,77,77,79,77,2,8,50,76,76,1,0,67,183574,1,99424,73,183574,1,0,6,35,2,183574,6,38,0,1106016,2,0,2,0,183574,1,1,5,0,183574,4,0,1,0,51,12000000,67,77,6,55,7,1,183574,183574,2,0,4,353,0,-1,73,282720,76
39,122,117,49,92000,1,1,1907,255,188,3,45,255,2,1,Atalanta,255,58,-1,4,200647,4,6,-1,5,0,2,5,0,24276,1,45,3,190,1,75,74,73,81,2,9,37,74,75,1,0,61,200647,1,99328,50,215259,1,0,1,71,2,215259,10,39,0,99328,0,0,2,0,215259,0,0,4,0,200647,0,0,1,1,36,8000000,31,76,3,31,8,1,200647,143076,2,0,3,353,0,-1,31,73728,80
44,122,87,30,499000,1,1,1908,255,153,3,45,255,2,1,Inter,255,46,-1,2,214026,4,9,-1,4,0,1,9,1,80018,1,316,4,47,1,81,82,80,87,2,9,67,82,82,1,0,56,223959,1,1073288,48,214026,1,3,7,45,4,214026,6,44,3,1069192,0,0,2,0,168609,0,0,5,0,214026,18,0,0,0,71,39000000,66,82,4,75,4,1,196978,216409,2,0,7,353,0,-1,78,1069192,87
45,122,255,255,1565000,1,1,1897,255,255,6,45,255,1,1,Juventus,255,66,-1,3,215590,4,10,-1,6,0,2,10,0,41475,1,485,4,44,1,85,85,84,89,2,7,38,85,85,1,0,47,212814,1,132096,21,215639,1,2,13,67,4,215639,5,45,3,132096,0,0,2,0,236242,3,0,6,0,215590,34,0,0,1,37,90000000,37,85,4,37,2,1,210047,211110,2,0,10,353,0,-1,37,526336,89
46,122,178,102,214000,255,255,1900,1,255,3,41,1,3,255,Lazio,1,49,-1,1,215330,4,7,-1,5,0,1,6,1,70634,1,408,5,52,1,81,80,80,82,2,12,36,79,79,1,0,31,183498,0,263216,47,188427,1,0,6,43,4,188427,5,46,0,1049648,0,0,2,0,188427,0,0,2,0,215330,2,0,0,1,38,17500000,53,80,5,33,5,1,175254,198706,2,0,6,353,0,-1,53,542768,80
47,122,2,247,740000,1,1,1899,255,1,3,45,255,2,1,Milan,255,74,-1,3,208128,4,7,-1,6,0,2,9,0,80018,1,316,5,44,1,80,80,80,83,2,9,51,79,79,1,0,60,208128,2,132096,40,208128,1,7,5,60,2,208128,5,47,0,270336,1,0,2,0,214997,0,1,3,0,208128,18,0,0,0,53,52000000,38,81,5,49,1,1,138412,202651,2,0,7,353,0,-1,40,1052672,83
48,122,120,38,423000,255,255,1926,66,191,4,40,146,1,255,Napoli,217,75,-1,2,210406,4,9,-1,5,0,1,8,0,60240,1,338,4,45,1,82,82,83,84,2,14,53,83,82,1,0,50,205175,2,181384,80,196889,1,0,5,60,2,196889,3,48,1,319624,0,0,2,0,205966,1,0,7,0,210406,2,0,0,0,53,40000000,70,82,4,69,3,1,205175,198219,2,1,7,353,0,-1,80,319624,84
50,122,212,255,26000,143,9,1913,255,0,2,44,255,4,48,Parma,255,49,-1,1,240095,4,4,-1,4,0,2,6,0,22352,1,653,6,189,1,71,73,72,75,2,10,66,70,69,1,0,63,240095,1,139264,59,240095,0,0,3,31,2,240095,4,50,2,1052672,1,0,2,0,138110,2,0,4,0,240095,0,0,0,0,66,4000000,73,73,6,61,2,1,199559,240095,2,0,2,353,0,-1,59,526336,75
52,122,0,102,512000,0,255,1927,255,0,4,41,255,1,142,Roma,255,76,-1,3,194794,4,9,-1,6,0,2,8,1,70634,1,408,5,46,1,81,80,81,81,2,12,52,81,81,1,0,42,159287,0,164996,42,194794,0,0,9,52,2,194794,4,52,0,286852,1,0,2,0,184190,0,1,3,0,194794,3,0,0,1,50,40000000,64,81,5,53,4,1,194794,185103,2,0,8,353,0,-1,72,266372,81
54,122,29,124,117000,255,255,1906,124,35,4,45,29,1,255,Torino,35,29,-1,0,173306,4,6,-1,2,0,1,5,0,27958,1,485,2,45,1,77,78,78,81,2,7,70,76,76,1,0,29,173306,1,1085448,65,205407,0,0,5,27,2,173306,6,54,0,561160,0,0,2,0,208596,2,1,2,0,205407,7,0,0,1,70,12000000,73,77,2,69,5,1,208596,173306,2,0,4,353,0,-1,35,559112,80
55,122,1,1,102000,255,255,1896,1,1,2,46,1,3,255,Udinese,1,44,-1,1,212616,4,5,-1,7,0,2,3,0,25144,1,499,6,52,1,75,74,75,75,2,13,51,73,73,1,0,58,161805,0,303104,64,212616,1,0,0,41,4,212616,7,55,0,1089536,0,0,2,0,224933,1,0,2,0,212616,0,0,0,0,52,7000000,58,74,6,41,9,1,224933,212616,2,0,3,353,0,-1,54,526336,76
57,137,112,32,20000,255,255,1905,1,184,2,47,116,3,255,AJ Auxerre,175,74,-1,2,204242,4,6,-1,4,0,2,4,0,21379,0,29,6,110569,1,70,68,68,72,2,3,66,67,68,0,0,31,204242,2,135425,31,204242,1,0,4,51,4,204242,9,57,0,266497,2,0,2,0,209691,2,1,4,0,204242,1,0,0,0,66,4666667,77,70,6,61,6,1,204242,204242,2,0,1,353,0,-1,31,526593,72
59,135,32,1,70000,255,255,1881,36,80,3,44,53,2,255,Girondins de Bordeaux,99,47,-1,1,237207,4,6,-1,3,0,2,5,0,42115,1,63,4,219,1,74,74,74,75,2,0,50,73,74,1,0,37,237207,1,303105,53,237207,1,0,4,35,2,237207,7,59,0,1056769,2,0,2,0,222411,1,0,2,0,237207,6,0,0,0,51,11112500,37,74,4,35,4,1,223510,237207,2,0,3,353,0,-1,53,1085441,76
62,135,2,221,26000,1,1,1912,255,19,2,48,255,1,1,En Avant Guingamp,255,44,-1,1,49488,4,4,-1,4,0,2,3,0,18462,1,201,5,378,1,74,73,74,76,2,-3,50,71,73,0,0,52,49488,1,1057026,48,49488,1,0,2,45,8,49488,5,62,0,1057026,0,0,2,0,204338,1,1,2,0,49488,0,0,0,0,51,5234667,52,74,5,45,6,1,183982,49488,2,0,2,353,0,-1,68,526594,76
64,137,1,184,25000,1,255,1906,182,28,2,50,25,2,213,RC Lens,44,67,-1,4,192824,4,9,-1,4,1,1,5,0,38223,1,274,5,65,1,69,69,70,68,2,2,38,69,67,1,0,59,192824,0,66692,53,192824,1,0,0,69,2,192824,6,64,0,132228,0,0,2,0,192824,0,0,5,0,192824,1,0,0,0,39,8500000,59,68,5,39,2,1,192824,192824,2,0,1,353,0,-1,59,132228,68
65,135,30,224,75000,106,36,1944,255,19,3,50,255,2,33,LOSC Lille,255,67,-1,4,183916,4,6,-1,5,0,1,5,0,50083,1,279,5,64,1,73,73,74,75,2,3,52,71,73,1,0,34,183916,1,132128,44,183916,0,0,6,64,2,183916,5,65,0,139296,1,0,2,0,200353,1,1,5,0,183916,3,0,0,1,52,10429688,64,73,5,41,5,1,183518,213874,2,0,4,353,0,-1,44,266272,75
66,135,255,255,240000,127,20,1950,180,255,2,45,1,2,56,Olympique Lyonnais,1,68,-1,4,216594,4,8,-1,4,1,1,7,0,59186,1,293,4,1819,1,80,78,79,81,2,4,53,76,77,1,0,49,216594,2,165002,79,216594,1,0,5,69,2,202556,9,66,0,172170,0,0,2,0,216594,1,0,4,0,202556,7,0,0,0,52,36420000,45,78,6,67,2,1,216594,216594,2,0,6,353,0,-1,39,299146,79
68,137,5,96,26000,255,255,1932,112,10,2,49,14,2,255,FC Metz,29,74,-1,2,112365,4,8,-1,5,0,1,3,0,24985,1,313,4,1823,1,69,70,69,70,2,6,37,71,71,0,0,70,112365,2,66704,54,210438,1,0,2,60,2,210438,7,68,0,296080,1,0,2,0,112365,0,1,3,0,112365,0,0,0,0,40,4610667,40,70,6,40,7,1,225293,112365,2,0,1,353,0,-1,40,1056912,71
69,135,30,224,500000,255,255,1924,250,35,2,43,33,1,255,AS Monaco,64,76,-1,2,194020,4,9,-1,4,0,1,6,0,18523,1,321,4,72,1,77,78,77,82,2,7,49,76,78,0,0,53,194020,0,181378,63,233550,1,0,5,53,2,233550,6,69,0,319618,2,0,2,0,238873,1,0,4,0,194020,8,0,0,0,51,50000000,61,78,6,35,3,1,194020,167397,2,0,6,353,0,-1,63,319618,82
70,135,90,1,43000,38,244,1974,255,148,3,43,255,2,148,Montpellier HSC,255,46,-1,1,193983,4,5,-1,3,0,2,5,0,22000,1,326,3,224,1,74,74,74,73,2,3,50,74,75,1,0,42,209288,1,270400,56,209288,1,0,2,41,2,209288,6,70,0,1056832,0,0,2,0,153260,1,1,2,0,193983,1,0,0,0,49,6808333,42,75,3,61,6,1,193983,193983,2,0,3,353,0,-1,56,528448,73
71,135,220,255,45000,44,1,1943,254,18,2,47,221,1,87,FC Nantes,57,66,-1,4,207924,4,5,-1,5,0,2,5,0,35322,1,337,3,74,1,74,75,74,77,2,-1,39,76,75,1,0,42,207924,1,148513,36,207924,1,0,3,62,2,223874,7,71,0,148513,2,0,2,0,223874,0,0,3,0,219693,8,0,0,0,37,6975000,52,75,5,32,6,1,204819,207924,2,0,2,353,0,-1,72,286753,75
72,135,1,204,50000,1,1,1904,201,1,2,43,18,2,1,OGC Nice,27,68,-1,4,186627,4,6,-1,6,1,2,4,0,36178,1,344,5,69,1,75,76,76,78,2,7,39,74,74,1,0,37,212886,1,132258,46,212886,0,0,3,67,9,212886,5,72,0,132258,1,0,2,0,158625,0,0,7,0,212886,4,0,0,0,37,8583333,57,75,5,37,5,1,186627,212886,2,0,3,353,0,-1,67,139426,78
73,135,62,1,2590000,41,200,1970,255,116,3,48,255,2,42,Paris Saint-Germain,255,58,-1,3,226131,4,10,-1,4,0,2,9,1,47929,1,373,3,219,1,84,85,85,86,2,2,28,83,82,1,0,40,226131,0,66176,24,240740,0,0,12,80,2,240740,3,73,0,66176,2,0,2,0,238205,0,1,5,0,226131,7,0,0,1,34,190882500,48,84,4,38,1,1,245770,190871,2,0,10,353,0,-1,40,131712,87
74,135,24,202,50000,1,1,1901,255,11,2,48,255,2,1,Stade Rennais,255,46,-1,1,187924,4,5,-1,4,0,1,4,0,29164,1,400,4,71,1,77,75,77,73,2,-1,49,73,74,0,0,31,214097,0,312580,33,187924,0,0,2,43,6,214097,8,74,0,1057028,0,0,2,0,190674,1,0,2,0,187924,0,0,0,1,51,8583333,31,75,4,63,5,1,161648,187924,2,0,3,353,0,-1,33,528644,72
76,135,102,51,30000,255,255,1906,1,204,3,48,159,7,255,RC Strasbourg,227,75,-1,2,235042,4,1,-1,4,0,2,4,0,27500,1,564,5,1823,1,71,72,71,71,2,7,49,73,73,1,0,31,235042,0,1049600,41,235042,0,0,3,51,2,208787,3,76,0,286720,1,0,2,0,209547,1,1,3,0,235042,1,0,0,0,49,5400000,31,72,6,31,6,1,204105,235042,2,0,1,353,0,-1,61,526336,71
77,67,0,240,9200,255,255,1903,255,0,4,57,0,3,255,Aberdeen,0,75,-1,2,242280,4,8,-1,4,0,2,5,0,20866,0,3,6,86,1,67,67,68,69,2,-2,52,65,67,0,0,42,200302,2,279636,32,204820,0,0,7,52,2,204820,4,77,0,286804,0,0,2,0,200302,1,0,2,0,200302,4,0,0,0,50,2500000,54,68,6,53,5,0,202526,200302,2,0,2,353,0,-1,72,526420,69
78,67,160,25,76000,255,255,1888,8,22,8,55,123,1,255,Celtic,16,60,-1,4,211093,4,10,-1,5,0,2,7,0,60411,1,186,5,86,1,75,73,73,73,2,-4,37,73,74,0,0,43,218745,2,66724,42,211093,1,1,38,73,2,211093,5,78,0,66724,0,0,2,0,134820,0,0,7,0,218745,49,0,0,0,38,12500000,33,74,5,33,2,0,233866,218745,2,0,4,353,0,-1,33,132260,72
80,67,0,120,6700,255,255,1874,80,41,2,55,12,3,255,Heart of Midlothian,35,47,-1,1,193206,4,7,-1,4,0,1,5,0,20099,2,148,3,81,2,67,68,69,68,2,-3,49,68,67,0,0,66,193206,1,116004,68,193206,1,0,8,33,2,193206,7,80,0,1106212,0,0,2,0,212516,1,0,2,0,211785,4,0,0,0,51,1600000,66,67,6,33,5,0,163209,211785,2,0,1,353,0,-1,68,543012,68
81,67,150,24,7200,255,255,1875,25,56,2,55,120,3,255,Hibernian,58,67,-1,4,225847,4,7,-1,4,0,2,5,0,20421,1,148,4,80,2,67,68,69,68,2,-3,51,65,65,0,0,50,225847,1,172160,50,225847,0,0,3,70,2,225847,4,81,0,155776,2,0,2,0,189110,1,1,2,0,225847,4,0,0,0,53,1200000,48,67,4,69,7,0,229728,225847,2,0,1,353,0,-1,80,1069184,70
